"geonames_kw","geonames_id","lc_kw","lc_id",,,,,
"Bhūkhi-Bhādar River",1275806,,,,,,,
"Bhusāwal",1275778,,,,,,,
"Bideipur",1275734,,,,,,,
"Bihār",1275715,"Bihar (India)","n79077375",,,,,
"Bījāpur",1275700,,,,,,,
"Bīkāner",1275666,"Bīkāner (India : District)","n89250061",,,,,
"Bilāspur",1275639,,,,,,,
"Bīna",6990539,"Bina (India)","no2003014476",,,,,
"Binnāguri",1275549,,,,,,,
"Birmitrapur",1275506,,,,,,,
"Birpara",7284803,,,,,,,
"Bodalkasa Tank",1275397,,,,,,,
"Bodhan",1275391,,,,,,,
"Boglia River",1275381,,,,,,,
"Boinu River",1275371,,,,,,,
"Bokāro",7701427,"Bokaro (India : District)","n2009200258",,,,,
"Bomdila",1275334,"Bomdila (India)","n89273930",,,,,
"Bor River",1275231,,,,,,,
"Borāwar",1275302,,,,,,,
"Bori",1275270,,,,,,,
"Bori River",1275250,,,,,,,
"Both",1275216,,,,,,,
"Brāhmani River",1275204,"Brahmani River (Orissa, India)","sh89005278",,,,,
"Brahmapur",1275198,"Brahmapur (India)","n82162996",,,,,
"Brahmaputra River",1208092,"Brahmaputra River","sh85016307",,,,,
"Būndi",1275104,"Bundi (India : District)","no2004086752",,,,,
"Calangute",1273858,,,,,,,
"Cannanore",1274988,"Cannanore (India : District)","n82103542",,,,,
"Car Nicobar Island",1274969,"Car Nicobar Island (India)","sh96008264",,,,,
"Chakra Nadī",1274888,,,,,,,
"Chambal River",1274846,"Chambal River (India)","sh85022419",,,,,
"Chambla Nadī",1274845,,,,,,,
"Chandīgarh",1274744,"Chandīgarh (India : Union Territory)","n81109268",,,,,
"Chandni Chowk",6619404,"Chandni Chowk (Delhi, India)","no2004006256",,,,,
"Chāndpur Tank",1274712,,,,,,,
"Chandrabhāga River",1274710,,,,,,,
"Chandragiri River",1274704,,,,,,,
"Chārgaon",1274582,,,,,,,
"Chautang Nadī",1274473,,,,,,,
"Chavara",1274466,,,,,,,
"Chenāb River",1115005,"Chenāb River (India and Pakistan)","sh2002005758",,,,,
"Chennai",7646145,"Chennai (India : District)","n2012073877",,,,,
"Cheyyur",1274383,,,,,,,
"Chhāpi Nadī",1274355,,,,,,,
"Chhapra",1274353,,,,,,,
"Chhatar Nār",1430581,,,,,,,
"Chhatarpur",1274339,,,,,,,
"Chhattisgarh",1444364,"Chhattīsgarh (India)","n84025797",,,,,
"Chinnūr",1274142,,,,,,,
"Chitarpu",1274073,,,,,,,
"Chitrakot",1274054,,,,,,,
"Chittorgarh",1274041,"Chittaurgarh (India)","n82007235",,,,,
"Chittūr",1274032,"Chittur (India)","n88292165",,,,,
"Chorkhamāra Tank",1273974,,,,,,,
"Chūlband River",1273939,,,,,,,
"Chūru",1273894,"Churu (India)","n82143148",,,,,
"Coimbatore",1273866,"Coimbatore (India : District)","n82241163",,,,,
"Curtorim",1273783,,,,,,,
"Cuttack",1273781,"Cuttack (India : District)","n84025790",,,,,
"Dabhel",1273770,,,,,,,
"Dādra",1273727,,,,,,,
"Dādra and Nagar Haveli",1273726,"Dādra and Nagar Haveli (India)","n81033273",,,,,
"Dalhousie",1273648,"Dalhousie (India)","n79126622",,,,,
"Dam Dam",1272243,"Dum Dum (India)","no2002071243",,,,,
"Damān and Diu",1271155,"Daman and Diu (India)","n89102023",,,,,
"Dāmodar River",1273590,"Damodar River (India)","sh97006046",,,,,
"Darbhanga",1273492,"Darbhanga (India : District)","n88123873",,,,,
"Daria",1273477,,,,,,,
"Darjeeling",1273468,"Darjeeling (India : District)","n85044864",,,,,
"Dāspur",1273413,,,,,,,
"Debagrām",1273353,,,,,,,
"Dehār Nadī",1273323,,,,,,,
"Dehradun",1273313,"Dehra Dūn (India : District)","n82221738",,,,,
"Deoband",1273265,"Deoband (India)","n81110556",,,,,
"Deoghar",1273241,"Deoghar (India)","n82246450",,,,,
"Derā Nānak",1273173,,,,,,,
"Dewas",1273067,"Dewās (India : District)","n79120088",,,,,
"Dhalai",1273038,,,,,,,
"Dhāmnagar",1273017,,,,,,,
"Dhāna Jogi",7018874,,,,,,,
"Dhanbād",1272980,"Dhānbād (India : District)","n83167710",,,,,
"Dhansiri River",1272915,,,,,,,
"Dhanwār",1272902,,,,,,,
"Dharmanagar",1272852,,,,,,,
"Dharwad",1272797,"Dhārwār (India : District)","n81124988",,,,,
"Dhaulīganga River",1252648,,,,,,,
"Dhaulpur",1272805,,,,,,,
"Dhebar Lake",1272792,,,,,,,
"Dhone",1272722,,,,,,,
"Dhulkot",1272687,,,,,,,
"Dibāng River",1272652,,,,,,,
"Dibrugarh",1272649,"Dibrugarh (India : District)","n83060442",,,,,
"Dichpalli",1272645,,,,,,,
"Diglipur",1272607,"Diglipur (India)","n2006215488",,,,,
"Dihāng River",1272582,,,,,,,
"Dikhu River",1272571,,,,,,,
"Diphu",1272525,"Diphu (India)","n89284303",,,,,
"Dīsa",1272513,"Dīsa (India)","n86053318",,,,,
"Doda",1272476,"Doda District (India)","n81009045",,,,,
"Domchānch",1272421,,,,,,,
"Duimukh",1272273,,,,,,,
"Durg",1272181,"Durg (India)","n85019859",,,,,
"Dwārka",1272140,"Dwārka (India)","n81131909",,,,,
"Earth",6295630,"Earth (Planet)","sh85040427",,,,,
"East Siang",1272115,"East Siang District (India)","n83161364",,,,,
"Erāi River",1272028,,,,,,,
"Eraniel",1272023,,,,,,,
"Ernākulam",1272019,"Ernakulam (India : District)","n81002600",,,,,
"Eru Nadī",1272000,,,,,,,
"Etāwah",1271989,"Etāwah (India : District)","no2005017034",,,,,
"Farīdābād",1271951,"Farīdābād (India)","n80141038",,,,,
"Fateh Sagar Lake",6955275,,,,,,,
"Fatehgarh",1271924,"Fatehgarh (India)","n79048363",,,,,
"Fatehpura",1271904,,,,,,,
"Firozabad",7874389,"Firozabad (India)","n88176800",,,,,
"Gāga",6417379,,,,,,,
"Gahmar",1271809,,,,,,,
"Gambhir River",1271751,"Gambhir River (India)","sh89006018",,,,,
"Gandaki River",1271732,"Gandak River (Nepal and India)","sh00000319",,,,,
"Gāndhi Sāgar",1271713,,,,,,,
"Gāndhīdhām",1271717,,,,,,,
"Gandhinagar",1271716,"Gāndhīnagar (India : District)","n2012201973",,,,,
"Ganespur",1348903,,,,,,,
"Gang Canal Feeder",1271659,,,,,,,
"Ganges River",1202950,"Ganges River (India and Bangladesh)","sh85053016",,,,,
"Gangotri",1271641,"Gangotri (India)","n82049690",,,,,
"Gangtok",1271631,"Gangtok (India)","n83023945",,,,,
"Garaimāri",8439917,,,,,,,
"Garga",1366181,,,,,,,
"Gaur Nadī",1271452,,,,,,,
"Ghaghar Reservoir",1271402,,,,,,,
"Ghāziābād",1271310,"Ghaziabad (India : District)","n97922485",,,,,
"Gilgit River",1178335,"Karambar River (Pakistan)","sh2012001447",,,,,
"Girnā River",1271166,,,,,,,
"Goa",1271157,"Goa (India : State)","n89102022",,,,,
"Godāvari River",1271115,"Godāvari River (India)","sh85055590",,,,,
"Godhra",7627227,"Godhra (India)","no2002060796",,,,,
"Golaghat",7627079,"Golāghāt (India : District)","n2010208245",,,,,
"Goma River",1271009,,,,,,,
"Gomati",1271007,,,,,,,
"Gopad",1270971,,,,,,,
"Gopālganj",1270967,,,,,,,
"Gorakhpur",1270930,"Gorakhpur (India : District)","n83206269",,,,,
"Goregaon",1270913,,,,,,,
"Gorīganga River",1270905,"Gorīganga River (India)","sh2001004170",,,,,
"Gujarāt",1270770,"Gujarat (India)","n81063244",,,,,
"Gulf of Mexico",3523271,"Mexico, Gulf of","sh85084621",,,,,
"Gulmarg",1270473,"Gulmarg (India)","no2013119485",,,,,
"Guntūr",1270669,"Guntūr (India : District)","n83014088",,,,,
"Gurdaspur",1270647,"Gurdaspur (India)","n2013013635",,,,,
"Guru Har Sahāi",1270612,,,,,,,
"Gutur River",1270590,,,,,,,
"Guwāhāti",1271476,"Gauhati (India)","n50051193",,,,,
"Gwalior",1270585,"Gwalior (India : District)","n81136401",,,,,
"Haldwani",1270498,"Haldwani (India)","no99057481",,,,,
"Hānsi",1270417,"Hansi (India)","no2003015137",,,,,
"Hāora",1270397,"Howrah (India : District)","n82028978",,,,,
"Hāpur",1270393,"Hapur (India)","n89261217",,,,,
"Haridwar",1270351,"Haridwār (India)","n88080888",,,,,
"Haryana",1270260,"Haryana (India)","n80090473",,,,,
"Hasdo River",1270246,,,,,,,
"Hatni River",1270195,,,,,,,
"Haveli",1430013,,,,,,,
"Hazārībāg",1270165,"Hazārībāg (India : District)","n83030711",,,,,
"Hemāvati River",1270141,,,,,,,
"Himachal Pradesh",1270101,"Himachal Pradesh (India)","n50055502",,,,,
"Hisar",1270023,"Hisar (India : District)","n87914772",,,,,
"Hivra",1270018,,,,,,,
"Hivra River",1270017,,,,,,,
"Hoshangābād",1269940,"Hoshangābād (India)","n79109658",,,,,
"Hosūr ",1269934,"Hosur (India)","n89255864",,,,,
"Hubli",1269920,"Hubli (India) ","n84217064",,,,,
"Hugli",1269911,"Hugli (India : District)","n84053130",,,,,
"Hunsūr",1269873,"Hunsur (India : Taluk)","n89235920",,,,,
"Hyderābād",1269844,"Hyderabad (India : District)","n88123323",,,,,
"Ichchāpuram",1269827,,,,,,,
"Imphal",1269771,"Imphāl (India : District)","n2002125999",,,,,
"Imphāl Turel",1269770,,,,,,,
"India",1269750,"India","n80125948",,,,,
"Indira Point",1259116,,,,,,,
"Indore",1269744,"Indore (India : District)","n89284547",,,,,
"Indrāvati River",1269733,,,,,,,
"Indus River",1115007,"Indus River","sh85065819",,,,,
"Itānagar",1269655,"Itanagar (India)","n89262055",,,,,
"Itawa",1271988,"Etāwah (India : District)","no2005017034",,,,,
"Jabalpur",1269634,"Jabalpur (India : District)","n88199874",,,,,
"Jagādhri ",1269605,,,,,,,
"Jagtial",1269562,,,,,,,
"Jaipur",1269519,"Jaipur (India : District)","n2013018731",,,,,
"Jaisalmer",1269508,"Jaisalmer (India : District)","n89223480",,,,,
"Jakhan",1440741,,,,,,,
"Jālgaon",1269411,"Jālgaon (India : District)","n81108259",,,,,
"Jalpāiguri",1269389,"Jalpaiguri (India : District)","n82103522",,,,,
"Jāmbuda",1269358,,,,,,,
"Jammu",1269322,"Jammu (India : District)","n88123005",,,,,
"Jammu and Kashmīr",1269320,"Jammu and Kashmir (India)","n79142931",,,,,
"Jāmnagar",1269318,"Jāmnagar (India : District)","n2012201972",,,,,
"Jāmner",1269315,,,,,,,
"Jāmod",1269308,"Jāmod (India)","n79082932",,,,,
"Jamshedpur",1269300,"Jamshedpur (India)","n50077850",,,,,
"Jamuna Nadī",1269287,,,,,,,
"Jamuniya",7005264,,,,,,,
"Jangpura",7732335,,,,,,,
"Jāt",1269155,,,,,,,
"Jaula",1269140,,,,,,,
"Jawai River",1269122,,,,,,," "
"Jhānsi",1269006,"Jhansi (India : District)","n85072144",,,,,
"Jharkhand",1444365,"Jharkhand (India)","n2001020816",,,,,
"Jhelum River",1114957,"Jhelum River (India and Pakistan)","sh2002006260",,,,,
"Jhunjhunūn",1268937,"Jhunjhunūn (India : District)","n89253500",,,,,
"Jīran",1268893,,,,,,,
"Jiri River",1268886,,,,,,,
"Jodhpur",1268867,"Jodhpur (India : District)","n84039716",,,,,
"Jorhat",7627081,"Jorhāt (India : District)","n2009074590",,,,,
"Jorhāt",7627081,"Jorhāt (India : District)","n2009074590",,,,,
"Jowai",1268810,,,,,,,
"Jūnāgadh",1268774,"Jūnāgadh (India : District)","n89199656",,,,,
"Kachchh",1268731,"Kachchh (India)","n84018121",,,,,
"Kachchh",1268731,"Kachchh (India)","n84018121",,,,,
"Kadaba",1268710,,,,,,,
"Kadmat Island",1268668,"Kadmat Island (India)","sh2010015536",,,,,
"Kakching",1268567,"Kakching (India)","n81000983",,,,,
"Kalang River",1268471,,,,,,,
"Kalghatgi",1268434,,,,,,,
"Kāli Nadi",1268400,,,,,,,
"Kāli River",1257201,"Kali River (India and Nepal)","sh88001062",,,,,
"Kāli Sindh River",1268387,,,,,,,
"Kalinga",1268395,,,,,,,
"Kallūr",1268352,,,,,,,
"Kālubhār River",1268313,,,,,,,
"Kalyani",1268293,"Kalyāṇī (India)","n89204461",,,,,
"Kalyanpur",1268287,"Kalyanpur Block (India)","n81067716",,,,,
"Kāmvādi",1268201,,,,,,,
"Kānchī Nadī",1268160,,,,,,,
"Kāngra",1268085,"Kāngra (India : District)","n82090471",,,,,
"Kanhān River",1268073,,,,,,,
"Kānki",1268026,,,,,,,
"Kanniyakumari",1268009,"Kanniyākumāri (India : District)","n81029759",,,,,
"Kannur District",1274988,"Cannanore (India : District)","n82103542",,,,,
"Kānpur",1267997,,,,,,,
"Kapūrthala",1267912,"Kapūrthala (India : District)","n81067771",,,,,
"Kāraikāl",1267888,"Karaikal (India : District)","n2008207094",,,,,
"Kargil",1267776,"Kargil (India)","n78030890",,,,,
"Karma",1267718,,,,,,,
"Karnātaka",1267701,"Karnataka (India)","n79125091",,,,,
"Kāro River",1267688,,,,,,,
"Karol Bāgh",1267696,,,,,,,
"Kasauli",1267605,"Kasauli (India)","nb2009031773",,,,,
"Kashipur",1267579,"Kashipur (India)","no2004079494",,,,,
"Kathāni Nadī",1267510,,,,,,,
"Kāveri River",1267384,"Cauvery River (India)","Cauvery River (India)",,,,,
"Kedārnāth",1267345,"Kedāranātha (India)","n88124052",,,,,
"Kerala",1267254,"Kerala (India)","n79055067",,,,,
"Khali Kachigam",1267116,,,,,,,
"Khān",7746169,,,,,,,
"Khānāpur",1267060,,,,,,,
"Khandāri",6992356,,,,,,,
"Khankai River",1266897,,,,,,,
"Khāra",1266986,,,,,,,
"Kharal",1266964,,,,,,,
"Khārda",1267167,,,,,,,
"Khardi Nadī",1266942,,,,,,,
"Khāri River",6417358,,,,,,,
"Kharki",1266890,,,,,,,
"Khārod Nadi",1266881,,,,,,,
"Khārowāla Rann",7746170,,,,,,,
"Khatauli",1266849,,,,,,,
"Khejroli",1266797,,,,,,,
"Kherva",1266749,,,,,,,
"Khilchipur",1266731,,,,,,,
"Khonsa",1266668,"Khonsa (India)","n2006206274",,,,,
"Khowai",1266649,,,,,,,
"Khujji",1266633,,,,,,,
"Kochi",1273874,"Cochin (India) ","n80152910",,,,,
"Kodoli",1266390,,,,,,,
"Kohima",1266367,,,,,,,
"Kolāb River",1266323,,,,,,,
"Kolār Nadī",1266299,,,,,,,
"Kolār River",1266298,,,,,,,
"Kolasib",1266258,,,,,,,
"Kolkata",1275004,"Kolkata (India)","n2012073732",,,,,
"Kollam",1259091,"Quilon (India)","n80150293",,,,,
"Konār Nadī",1266219,,,,,,,
"Konta",1266167,,,,,,,
"Korba",1266122,"Korba (India)","n89287247",,,,,
"Kotdwāra",1266014,,,,,,,
"Kothāri River",1265988,,,,,,,
"Krishnapur",1348742,,,,,,,
"Krishnāwati Nadī",1265850,,,,,,,
"Krishni Nadi",1267673,,,,,,,
"Kūl Nadī",1265717,,,,,,,
"Kumbalangy",7731699,,,,,,,
"Kunwāri River",1265565,,,,,,,
"Kupwāra ",6268046,,,,,,,
"Kurnool Cuddapah Canal",1265490,,,,,,,
"Kushinagar",7626229,"Kushinagar (India : District)","n2010214745",,,,,
"Laksar",1265208,,,,,,,
"Lakshadweep",1265206,"Lakshadweep (India)","n80123357",,,,,
"Lālgola",1265166,,,,,,,
"Langāi River",1265103,,,,,,,
"Lanjigarh",1265083,,,,,,,
"Lawngtlai",1264986,,,,,,,
"Leh",7909879,"Leh (India : District)","n2012218730",,,,,
"Lenteng",1264958,,,,,,,
"Līlri River",1264918,,,,,,,
"Logtāk Lake",1264851,"Loktak Lake (India)","sh2006006636",,,,,
"Lohit River",1264817,,,,,,,
"Lower Subansiri",1264739,,,,,,,
"Lucknow",1264733,"Lucknow (India)","n81059800",,,,,
"Ludhiāna",1264729,"Ludhiana (India : District)","n83131584",,,,,
"Lūni",1264673,,,,,,,
"Lūni River",1264670,,,,,,,
"Lūnkaransar",1264688,,,,,,,
"Machchhu River",1264649,"Machchhu River (India)","sh2011000351",,,,,
"Madded",1264600,,,,,,,
"Madgaon",1264588,"Madgaon (India)","n82036184",,,,,
"Madhubani",1264556,"Madhubani (India : District)","n89114248",,,,,
"Madhupur",1264551,"Madhupur (India)","n85044957",,,,,
"Madhya Pradesh",1264542,"Madhya Pradesh (India)","n79130768",,,,,
"Madurai",1264522,"Madurai (India : District)","n82272158",,,,,
"Madurai",1264522,"Madurai (India : District)","n82272158",,,,,
"Mahānadī Main Canal",1264448,,,,,,,
"Mahānadī River",1264446,,,,,,,
"Mahānadī River",1264446,"Mahanadi River (India)","sh92002076",,,,,
"Mahānanda River",1264443,,,,,,,
"Mahārāshtra",1264418,"Maharashtra (India)","n50000932",,,,,
"Mahesāna",1264390,"Mehsana (India : District)","no2003104094",,,,,
"Māhi Nāla",1351258,,,,,,,
"Mahi River",1264371,,,,,,,
"Māīthan",1264276,,,,,,,
"Mājuli",1264231,"Mājulī (India)","n81071713",,,,,
"Mālād",1264179,,,,,,,
"Māldah",1264122,"Māldah District (India)","n82259497",,,,,
"Malebennūr",1264120,,,,,,,
"Malur",1264010,,,,,,,
"Mamit",7909838,,,,,,,
"Mān River",1263624,,,,,,,
"Manāli",1263967,"Manāli (India)","n84152445",,,,,
"Mandakini",1263922,,,,,,,
"Māndal",1263917,,,,,,,
"Mandavi River",1263885,,,,,,,
"Mandrem",1263840,,,,,,,
"Mangalore",1263780,"Mangalore (India)","n82150505",,,,,
"Mani Mājra",1263714,,,,,,,
"Manipala",1263707,"Manipala (India)","n79048381",,,,,
"Manipur",1263706,"Manipur (India)","n79060976",,,,,
"Mānjra River",1263682,,,,,,,
"Manohar Sāgar",6990927,,,,,,,
"Manoharpur",1263651,,,,,,,
"Manori Creek",1263643,,,,,,,
"Manu",1263607,,,,,,,
"Mao Songsang",1263584,,,,,,,
"Marigaon",7302854,,,,,,,
"Markacho",1263510,,,,,,,
"Mārkanda River",1263508,,,,,,,
"Mārkāpur",1263504,,,,,,,
"Marmagao",1263494,"Marmagao (India)","n84206147",,,,,
"Mashāt",1263424,,,,,,,
"Maski",1263415,,,,,,,
"Mathura",1263366,,,,,,,
"Mayūreswar",1263244,,,,,,,
"Mechi River",1263233,"Mechi River (Nepal and India)","sh2004003301",,,,,
"Meerut",1263215,"Meerut (India : District)","n82145620",,,,,
"Megal River",1263212,,,,,,,
"Meghālaya",1263207,"Meghalaya (India)","n80144997",,,,,
"Melli Bāzār",1263161,,,,,,,
"Mendha Nadī",1263141,,,,,,,
"Mengpui Lui",1263135,,,,,,,
"Merāpāni",1263126,,,,,,,
"Metpalle",7302835,,,,,,,
"Mithri",1262977,,,,,,,
"Mithri Nadi",1262979,,,,,,,
"Mizoram",1262963,"Mizoram (India)","n81033457",,,,,
"Moga",8407028,"Moga (India : District)","no2003104540",,,,,
"Mohanā",1262925,,,,,,,
"Mohari",1262901,,,,,,,
"Mohol",1262878,,,,,,,
"Moj River",1262861,,,,,,,
"Mona River",1262821,,,,,,,
"Mopādu",1262810,,,,,,,
"Mora",1348646,,,,,,,
"Morādābād",1262802,"Moradabad (India : District)","n86122026",,,,,
"Morān Sāgar",1262786,,,,,,,
"Morār Nadī",1262782,,,,,,,
"Morbi",1262775,"Morvi (India)","n2011002017",,,,,
"Motīhāri",1262710,,,,,,,
"Mudigandi Eru",1262659,,,,,,,
"Muhari River",1194038,,,,,,,
"Mūlki River",1262545,,,,,,,
"Mumbai",1275339,"Mumbai (India)","n2012073713",,,,,
"Mussoorie",1262374,"Mussoorie (India)","n85805295",,,,,
"Muzaffarnagar",1262333,"Muzaffarnagar (India : District)","n81098283",,,,,
"Muzaffarpur",1262331,"Muzaffarpur (India : District)","n88030955",,,,,
"Mylliem",1262326,"Mylliem (India : State)","n81006349",,,,,
"Mysore",1262322,"Mysore (India : District)","n79143751",,,,,
"Nadiād",1262292,"Nadiad (India)","n88176374",,,,,
"Nāgāland",1262271,"Nāgāland (India)","n79127113",,,,,
"Nāgamangala",1262266,"Nagamangala (India)","n88184490",,,,,
"Nagāon",8431383,"Nagaon (India)","n2006171376",,,,,
"Nāgpur",1262182,"Nāgpur (India : District)","n88124225",,,,,
"Naharlagun",7302855,"Naharlagun (India)","n2012063899",,,,,
"Naini Tāl",1262117,"Naini Tal (India)","n81074445",,,,,
"Nālanda",1262081,"Nalanda (India : District)","n85385806",,,,,
"Nalgonda District",1262068,"Nalgonda (India : District)","n82090475",,,,,
"Nalhāti",1262065,"Nalhāti (India)","no2001102489",,,,,
"Nancowry Island",1261993,,,,,,,
"Nandigāma",1261960,,,,,,,
"Nandikotkūr",1261957,,,,,,,
"Nāngal Dam",1261921,,,,,,,
"Napāsar",1261882,,,,,,,
"Nārāyanpur",1261816,,,,,,,
"Narmada",1261774,"Narmada River (India)","sh85089828",,,,,
"Naroli",1261767,,,,,,,
"Nashik Division",8131501,,,,,,,
"Nāsik",1261732,"Nāsik (India : District)","n88238727",,,,,
"National Capital Territory of Delhi",1273293,"Delhi (India : Union Territory)","n50061139",,,,,
"Navsāri",1261653,"Navsāri (India)","n89287968",,,,,
"Nayar River",1261572,,,,,,,
"Nedungādu",1261551,,,,,,,
"Nermand",1261503,,,,,,,
"Netrāvati River",1261492,,,,,,,
"Newaj River",1261484,,,,,,,
"Nicobar",1261448,"Nicobar Islands (India)","sh96008891",,,,,
"Nilambūr",1261398,"Nilambur Taluk (India)","n2006171404",,,,,
